23.06 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],4:1,['match_id=897060599'],FireStorm,['team_id=10056']
24.06 - 22:00,Friendly,Lakeside Hoppers,['team_id=39343'],5:2,['match_id=897060558'],HC Jelgava Stars,['team_id=42152']
25.06 - 21:00,League 1.round,HC #Dinamo Riga#,['team_id=7903'],3:5,['match_id=897112194'],HC Jelgava Stars,['team_id=42152']
26.06 - 21:00,League 2.round,HC Jelgava Stars,['team_id=42152'],4:2,['match_id=897112204'],Rozetes,['team_id=20386']
27.06 - 21:00,National cup,HK Leģionāri,['team_id=14228'],9:2,['match_id=897225308'],HC Jelgava Stars,['team_id=42152']
28.06 - 21:00,League 3.round,Silikātu ledlauži,['team_id=22517'],0:1,['match_id=897112228'],HC Jelgava Stars,['team_id=42152']
29.06 - 21:00,League 4.round,HC Jelgava Stars,['team_id=42152'],4:0,['match_id=897112234'],ZibensX,['team_id=43025']
30.06 - 22:00,Friendly,C.S IceRabbits Napoca,['team_id=24755'],0:6,['match_id=897228938'],HC Jelgava Stars,['team_id=42152']
01.07 - 22:00,Friendly,C.S IceRabbits Napoca,['team_id=24755'],3:1,['match_id=897228939'],HC Jelgava Stars,['team_id=42152']
02.07 - 21:00,League 5.round,HC Anaheim,['team_id=19579'],8:2,['match_id=897112262'],HC Jelgava Stars,['team_id=42152']
03.07 - 21:00,League 6.round,MeemaisTeam,['team_id=43795'],4:0,['match_id=897112264'],HC Jelgava Stars,['team_id=42152']
04.07 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],0:3,['match_id=897232416'],BorKhan,['team_id=59077']
05.07 - 21:00,League 7.round,HC Jelgava Stars,['team_id=42152'],3:2,['match_id=897112294'],vairogs,['team_id=7709']
06.07 - 21:00,League 8.round,Riga Par Dinamo,['team_id=20428'],5:3,['match_id=897112298'],HC Jelgava Stars,['team_id=42152']
07.07 - 21:00,Friendly,HC Jestřebí,['team_id=12790'],4:2,['match_id=897238709'],HC Jelgava Stars,['team_id=42152']
08.07 - 22:00,Friendly,Hc Black Tigers :B:,['team_id=58592'],0:2,['match_id=897240808'],HC Jelgava Stars,['team_id=42152']
09.07 - 21:00,League 9.round,HC Jelgava Stars,['team_id=42152'],6:4,['match_id=897112324'],Rīgas SKS,['team_id=25255']
10.07 - 21:00,League 10.round,Soda Beņķa Sildītāji,['team_id=28975'],5:3,['match_id=897112332'],HC Jelgava Stars,['team_id=42152']
11.07 - 22:00,Friendly,Ainon HT,['team_id=19177'],0:6,['match_id=897247664'],HC Jelgava Stars,['team_id=42152']
12.07 - 21:00,League 11.round,HC Jelgava Stars,['team_id=42152'],3:1,['match_id=897112354'],BLACK RABBIT,['team_id=23824']
13.07 - 21:00,League 12.round,bananiosi,['team_id=18832'],0:5,['match_id=897112366'],HC Jelgava Stars,['team_id=42152']
14.07 - 21:00,Friendly,PUČT.PILSNER ЦRQUELL ČESKÁ TŘEBOVÁ,['team_id=21422'],2:5,['match_id=897248358'],HC Jelgava Stars,['team_id=42152']
15.07 - 21:00,Friendly,Coyotes,['team_id=27652'],2:9,['match_id=897248359'],HC Jelgava Stars,['team_id=42152']
16.07 - 21:00,League 13.round,HC Jelgava Stars,['team_id=42152'],4:1,['match_id=897112384'],armijas vieniba,['team_id=22484']
17.07 - 21:00,League 14.round,Bauskas Alkani,['team_id=946'],2:5,['match_id=897112400'],HC Jelgava Stars,['team_id=42152']
18.07 - 21:00,Friendly,Hardec,['team_id=31611'],1:4,['match_id=897056841'],HC Jelgava Stars,['team_id=42152']
19.07 - 21:00,League 15.round,HC Jelgava Stars,['team_id=42152'],6:0,['match_id=897112414'],Latvijas Patriots,['team_id=18769']
20.07 - 21:00,League 16.round,HC Jelgava Stars,['team_id=42152'],6:3,['match_id=897112195'],HC #Dinamo Riga#,['team_id=7903']
21.07 - 21:00,Friendly,Hardec,['team_id=31611'],1:6,['match_id=897056842'],HC Jelgava Stars,['team_id=42152']
22.07 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],5:2,['match_id=897056843'],Hardec,['team_id=31611']
23.07 - 21:00,League 17.round,Rozetes,['team_id=20386'],5:6,['match_id=897112205'],HC Jelgava Stars,['team_id=42152']
24.07 - 21:00,League 18.round,HC Jelgava Stars,['team_id=42152'],3:0,['match_id=897112229'],Silikātu ledlauži,['team_id=22517']
25.07 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],5:2,['match_id=897056844'],Hardec,['team_id=31611']
26.07 - 21:00,League 19.round,ZibensX,['team_id=43025'],0:8,['match_id=897112235'],HC Jelgava Stars,['team_id=42152']
27.07 - 21:00,League 20.round,HC Jelgava Stars,['team_id=42152'],1:6,['match_id=897112263'],HC Anaheim,['team_id=19579']
28.07 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],7:3,['match_id=897263998'],Lokomotive Marline,['team_id=59264']
29.07 - 21:00,Friendly,HC KOVO Děčín,['team_id=29682'],2:4,['match_id=897265069'],HC Jelgava Stars,['team_id=42152']
30.07 - 21:00,League 21.round,HC Jelgava Stars,['team_id=42152'],4:3,['match_id=897112265'],MeemaisTeam,['team_id=43795']
31.07 - 21:00,League 22.round,vairogs,['team_id=7709'],3:2,['match_id=897112295'],HC Jelgava Stars,['team_id=42152']
01.08 - 19:00,Friendly,DELTA,['team_id=40080'],6:0,['match_id=897267297'],HC Jelgava Stars,['team_id=42152']
02.08 - 21:00,League 23.round,HC Jelgava Stars,['team_id=42152'],1:2,['match_id=897112299'],Riga Par Dinamo,['team_id=20428']
03.08 - 21:00,League 24.round,Rīgas SKS,['team_id=25255'],4:1,['match_id=897112325'],HC Jelgava Stars,['team_id=42152']
04.08 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],2:3,['match_id=897270768'],Bajen Fans Hockey,['team_id=1529']
05.08 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],6:4,['match_id=897270757'],Šarišan Prešov,['team_id=38765']
06.08 - 21:00,League 25.round,HC Jelgava Stars,['team_id=42152'],1:4,['match_id=897112333'],Soda Beņķa Sildītāji,['team_id=28975']
07.08 - 21:00,League 26.round,BLACK RABBIT,['team_id=23824'],3:2,['match_id=897112355'],HC Jelgava Stars,['team_id=42152']
08.08 - 22:00,Friendly,HK POPRAD,['team_id=7347'],1:6,['match_id=897270758'],HC Jelgava Stars,['team_id=42152']
09.08 - 21:00,League 27.round,HC Jelgava Stars,['team_id=42152'],4:3,['match_id=897112367'],bananiosi,['team_id=18832']
10.08 - 21:00,League 28.round,armijas vieniba,['team_id=22484'],0:2,['match_id=897112385'],HC Jelgava Stars,['team_id=42152']
11.08 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],1:3,['match_id=897276602'],HC Detroit Wings,['team_id=35664']
12.08 - 21:00,Friendly,HC Detroit Wings,['team_id=35664'],4:4,['match_id=897276791'],HC Jelgava Stars,['team_id=42152']
13.08 - 21:00,League 29.round,HC Jelgava Stars,['team_id=42152'],4:2,['match_id=897112401'],Bauskas Alkani,['team_id=946']
14.08 - 21:00,League 30.round,Latvijas Patriots,['team_id=18769'],1:4,['match_id=897112415'],HC Jelgava Stars,['team_id=42152']
15.08 - 22:00,Friendly,Flying Hope,['team_id=58395'],1:9,['match_id=897276871'],HC Jelgava Stars,['team_id=42152']
16.08 - 21:00,Playoff,MeemaisTeam,['team_id=43795'],3:4,['match_id=897294443'],HC Jelgava Stars,['team_id=42152']
17.08 - 21:00,Playoff,HC Jelgava Stars,['team_id=42152'],2:5,['match_id=897294447'],MeemaisTeam,['team_id=43795']
18.08 - 20:00,Friendly,Pressburg Wild,['team_id=34787'],2:4,['match_id=897316941'],HC Jelgava Stars,['team_id=42152']
19.08 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],2:2,['match_id=897316940'],Pressburg Wild,['team_id=34787']
20.08 - 21:00,Playoff,MeemaisTeam,['team_id=43795'],1:3,['match_id=897318969'],HC Jelgava Stars,['team_id=42152']
21.08 - 21:00,Playoff,HC Anaheim,['team_id=19579'],1:4,['match_id=897327731'],HC Jelgava Stars,['team_id=42152']
22.08 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],3:5,['match_id=897316948'],HC SHarkLV,['team_id=14295']
23.08 - 21:00,Playoff,HC Jelgava Stars,['team_id=42152'],8:3,['match_id=897327733'],HC Anaheim,['team_id=19579']
24.08 - 22:00,Friendly,Universal Team,['team_id=4765'],7:3,['match_id=897335123'],HC Jelgava Stars,['team_id=42152']
25.08 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],3:1,['match_id=897316942'],HC Foreign Basterds,['team_id=42470']
26.08 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],6:0,['match_id=897324247'],HC Pilsen Lions,['team_id=29598']
27.08 - 21:00,Playoff,Soda Beņķa Sildītāji,['team_id=28975'],11:3,['match_id=897340455'],HC Jelgava Stars,['team_id=42152']
28.08 - 21:00,Playoff,HC Jelgava Stars,['team_id=42152'],6:2,['match_id=897340456'],Soda Beņķa Sildītāji,['team_id=28975']
