75. ,HC Jelgava Stars,26 ,46 ,3 ,6.5% ,4 ,-5 ,0 ,0 ,- ,0, Vladimirs Znotiņš  
73. ,HC Jelgava Stars,35 ,44 ,4 ,9.1% ,4 ,-2 ,0 ,0 ,- ,3 
71. ,HC Jelgava Stars,3 ,2 ,0 ,0% ,0 ,-2 ,0 ,0 ,- ,0 
69. ,HC Jelgava Stars,1 ,2 ,0 ,0% ,0 ,-1 ,0 ,0 ,- ,1 
74. ,HC Jelgava Stars,29 ,50 ,4 ,8% ,2 ,-11 ,0 ,0 ,- ,3 
72. ,HC Jelgava Stars,4 ,4 ,0 ,0% ,0 ,-4 ,0 ,0 ,- ,0 
70. ,HC Jelgava Stars,5 ,1 ,0 ,0% ,0 ,-2 ,0 ,0 ,- ,1 

75. ,HC Jelgava Stars,26 ,53 ,8 ,15.1% ,8 ,5 ,0 ,0 ,- ,0,Ernests Beļavskis
65. ,thunderforce2,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
75. ,Orlik Burton Opole,11 ,20 ,0 ,0% ,2 ,2 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,36 ,27 ,1 ,3.7% ,4 ,-4 ,0 ,0 ,- ,2, Edgars Miķelsons
73. ,HC Jelgava Stars,31 ,10 ,0 ,0% ,0 ,-7 ,0 ,0 ,- ,0 
71. ,HC Jelgava Stars,16 ,6 ,0 ,0% ,0 ,-11 ,0 ,0 ,- ,8 
69. ,HC Jelgava Stars,3 ,1 ,0 ,0% ,0 ,-2 ,0 ,0 ,- ,0 
67. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,34 ,24 ,0 ,0% ,3 ,-9 ,0 ,0 ,- ,4 
72. ,HC Jelgava Stars,36 ,19 ,1 ,5.3% ,1 ,-3 ,0 ,0 ,- ,0 
70. ,HC Jelgava Stars,5 ,2 ,0 ,0% ,0 ,-6 ,0 ,0 ,- ,0 
68. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,38 ,103 ,19 ,18.4% ,3 ,-14 ,0 ,0 ,- ,0, Atis Zilgalvis 
73. ,HC Jelgava Stars,37 ,105 ,19 ,18.1% ,5 ,9 ,0 ,0 ,- ,0 
71. ,HC Jelgava Stars,35 ,41 ,4 ,9.8% ,0 ,-11 ,0 ,0 ,- ,0 
69. ,HC Jelgava Stars,4 ,2 ,0 ,0% ,0 ,-4 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,38 ,108 ,14 ,13% ,5 ,11 ,0 ,0 ,- ,0 
72. ,HC Jelgava Stars,36 ,43 ,3 ,7% ,2 ,-5 ,0 ,0 ,- ,0 
70. ,HC Jelgava Stars,6 ,5 ,0 ,0% ,0 ,-4 ,0 ,0 ,- ,1 
68. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,2 

75. ,HC Jelgava Stars,36 ,60 ,2 ,3.3% ,16 ,15 ,0 ,0 ,- ,3, Bohuslav Kotrba 
73. ,HC Jelgava Stars,35 ,66 ,1 ,1.5% ,9 ,13 ,0 ,0 ,- ,1 
71. ,HC Jelgava Stars,36 ,66 ,6 ,9.1% ,7 ,0 ,0 ,0 ,- ,4 
69. ,HC Jelgava Stars,32 ,27 ,0 ,0% ,4 ,6 ,0 ,0 ,- ,3 
67. ,HC Jelgava Stars,2 ,2 ,0 ,0% ,1 ,-2 ,0 ,0 ,- ,0 
66. ,Snellz,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
64. ,Snellz,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
62. ,Snellz,6 ,1 ,0 ,0% ,0 ,-7 ,0 ,0 ,- ,0 
62. ,Rebel Angels,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,37 ,72 ,1 ,1.4% ,14 ,23 ,0 ,0 ,- ,1 
72. ,HC Jelgava Stars,34 ,53 ,1 ,1.9% ,11 ,11 ,0 ,0 ,- ,2 
70. ,HC Jelgava Stars,24 ,32 ,2 ,6.3% ,5 ,-3 ,0 ,0 ,- ,10 
68. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
66. ,HC Jelgava Stars,11 ,3 ,0 ,0% ,5 ,2 ,0 ,0 ,- ,0 
65. ,Snellz,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
63. ,Snellz,19 ,13 ,1 ,7.7% ,0 ,-16 ,0 ,0 ,- ,5 
62. ,Snellz,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
62. ,12707,2 ,0 ,0 ,- ,0 ,-4 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,31 ,49 ,9 ,18.4% ,0 ,4 ,0 ,0 ,- ,1,Francis Taukulis 
73. ,HC Jelgava Stars,34 ,56 ,9 ,16.1% ,2 ,-1 ,0 ,0 ,- ,6 
71. ,HC Jelgava Stars,4 ,4 ,0 ,0% ,0 ,-5 ,0 ,0 ,- ,1 
69. ,HC Jelgava Stars,1 ,0 ,0 ,- ,0 ,-1 ,0 ,0 ,- ,1 
74. ,HC Jelgava Stars,38 ,70 ,8 ,11.4% ,6 ,7 ,0 ,0 ,- ,0 
72. ,HC Jelgava Stars,12 ,7 ,1 ,14.3% ,0 ,-6 ,0 ,0 ,- ,0 
70. ,HC Jelgava Stars,6 ,4 ,0 ,0% ,0 ,-6 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,21 ,34 ,2 ,5.9% ,1 ,-12 ,0 ,0 ,- ,3, Jurģis Nagrebis 
73. ,HC Jelgava Stars,36 ,30 ,1 ,3.3% ,4 ,0 ,0 ,0 ,- ,1 
71. ,HC Jelgava Stars,9 ,2 ,0 ,0% ,0 ,-7 ,0 ,0 ,- ,0 
69. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,32 ,44 ,4 ,9.1% ,9 ,6 ,0 ,0 ,- ,6 
72. ,HC Jelgava Stars,26 ,24 ,2 ,8.3% ,2 ,-7 ,0 ,0 ,- ,0 
70. ,HC Jelgava Stars,1 ,0 ,0 ,- ,0 ,-1 ,0 ,0 ,- ,2

75. ,HC Jelgava Stars,37 ,67 ,2 ,3% ,12 ,-6 ,0 ,0 ,- ,0, Ilya Tonkonogov 
73. ,HC Jelgava Stars,37 ,75 ,1 ,1.3% ,11 ,17 ,0 ,0 ,- ,3 
71. ,HC Jelgava Stars,37 ,57 ,0 ,0% ,20 ,1 ,0 ,0 ,- ,0 
70. ,Трактор,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
64. ,Трактор,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,37 ,70 ,4 ,5.7% ,23 ,18 ,0 ,0 ,- ,5 
72. ,HC Jelgava Stars,36 ,61 ,1 ,1.6% ,14 ,9 ,0 ,0 ,- ,0 
70. ,HC Jelgava Stars,26 ,13 ,0 ,0% ,3 ,-10 ,0 ,0 ,- ,0 
69. ,Трактор,28 ,12 ,0 ,0% ,2 ,-22 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,38 ,34 ,0 ,0% ,4 ,-15 ,0 ,0 ,- ,0, Juris Norītis 
73. ,HC Jelgava Stars,11 ,9 ,0 ,0% ,1 ,1 ,0 ,0 ,- ,2 
71. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,36 ,35 ,0 ,0% ,13 ,16 ,0 ,0 ,- ,3 
72. ,HC Jelgava Stars,1 ,3 ,0 ,0% ,1 ,1 ,0 ,0 ,- ,2 
70. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0

75. ,HC Jelgava Stars,21 ,29 ,1 ,3.4% ,7 ,-4 ,0 ,0 ,- ,0, Karl LoBianco 
68. ,ORAVA TEAM,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,2 
67. ,Wasphawks,9 ,18 ,1 ,5.6% ,3 ,3 ,0 ,0 ,- ,0 
75. ,Торос,11 ,38 ,1 ,2.6% ,3 ,-4 ,0 ,0 ,- ,0 
67. ,ORAVA TEAM,1 ,0 ,0 ,- ,0 ,-1 ,0 ,0 ,- ,0 
65. ,Wasphawks,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,35 ,0 ,0 ,- ,0 ,0 ,424 ,55 ,87% ,2, Kaspars Dinsberģis 
74. ,HC Jelgava Stars,17 ,0 ,0 ,- ,0 ,0 ,153 ,20 ,86.9% ,1 

75. ,HC Jelgava Stars,36 ,85 ,12 ,14.1% ,7 ,-10 ,0 ,0 ,- ,2, Vasile Halip 
73. ,HC Jelgava Stars,32 ,80 ,14 ,17.5% ,12 ,5 ,0 ,0 ,- ,9 
71. ,HC Jelgava Stars,38 ,92 ,16 ,17.4% ,13 ,1 ,0 ,0 ,- ,0 
69. ,HC Jelgava Stars,36 ,60 ,12 ,20% ,3 ,3 ,0 ,0 ,- ,5 
67. ,HC Jelgava Stars,19 ,23 ,2 ,8.7% ,0 ,-14 ,0 ,0 ,- ,0 
66. ,Domnesti Penguins,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
62. ,Domnesti Penguins,1 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,38 ,117 ,26 ,22.2% ,9 ,22 ,0 ,0 ,- ,0 
72. ,HC Jelgava Stars,34 ,86 ,11 ,12.8% ,13 ,6 ,0 ,0 ,- ,3 
70. ,HC Jelgava Stars,27 ,48 ,10 ,20.8% ,3 ,1 ,0 ,0 ,- ,6 
68. ,HC Jelgava Stars,30 ,23 ,2 ,8.7% ,0 ,-23 ,0 ,0 ,- ,0 
66. ,HC Jelgava Stars,10 ,14 ,4 ,28.6% ,1 ,-2 ,0 ,0 ,- ,0 
64. ,Domnesti Penguins,2 ,0 ,0 ,- ,0 ,-7 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,37 ,97 ,11 ,11.3% ,4 ,0 ,0 ,0 ,- ,2, Maigonis Ušackis 
73. ,HC Jelgava Stars,37 ,114 ,27 ,23.7% ,5 ,17 ,0 ,0 ,- ,0 
71. ,HC Jelgava Stars,33 ,64 ,14 ,21.9% ,2 ,1 ,0 ,0 ,- ,4 
69. ,HC Jelgava Stars,21 ,14 ,0 ,0% ,3 ,2 ,0 ,0 ,- ,5 
67. ,HC Jelgava Stars,12 ,9 ,0 ,0% ,1 ,-12 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,34 ,70 ,8 ,11.4% ,6 ,9 ,0 ,0 ,- ,6 
72. ,HC Jelgava Stars,36 ,104 ,24 ,23.1% ,9 ,18 ,0 ,0 ,- ,0 
70. ,HC Jelgava Stars,28 ,26 ,2 ,7.7% ,2 ,-6 ,0 ,0 ,- ,0 
68. ,HC Jelgava Stars,22 ,34 ,3 ,8.8% ,2 ,-22 ,0 ,0 ,- ,6 
66. ,HC Jelgava Stars,17 ,27 ,5 ,18.5% ,3 ,1 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,32 ,30 ,1 ,3.3% ,9 ,10 ,0 ,0 ,- ,9, Leroy Sizemore 
73. ,HC Jelgava Stars,36 ,30 ,0 ,0% ,5 ,0 ,0 ,0 ,- ,2 
71. ,HC Jelgava Stars,35 ,22 ,0 ,0% ,4 ,-4 ,0 ,0 ,- ,0 
70. ,Icing On The Skate,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
68. ,Icing On The Skate,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
66. ,Icing On The Skate,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,35 ,25 ,1 ,4% ,6 ,2 ,0 ,0 ,- ,2 
72. ,HC Jelgava Stars,36 ,36 ,0 ,0% ,10 ,-4 ,0 ,0 ,- ,0 
70. ,HC Jelgava Stars,25 ,10 ,0 ,0% ,3 ,-11 ,0 ,0 ,- ,0 
69. ,Icing On The Skate,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
67. ,Icing On The Skate,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,1 
65. ,Icing On The Skate,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,37 ,87 ,7 ,8% ,13 ,2 ,0 ,0 ,- ,0, Joshua Adams 
73. ,HC Jelgava Stars,36 ,77 ,8 ,10.4% ,14 ,16 ,0 ,0 ,- ,2 
71. ,HC Jelgava Stars,36 ,34 ,4 ,11.8% ,5 ,-2 ,0 ,0 ,- ,3 
70. ,Spitfire Fighters,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,37 ,87 ,6 ,6.9% ,18 ,23 ,0 ,0 ,- ,2 
72. ,HC Jelgava Stars,32 ,50 ,8 ,16% ,7 ,9 ,0 ,0 ,- ,7 
70. ,HC Jelgava Stars,27 ,18 ,3 ,16.7% ,0 ,-18 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,37 ,99 ,20 ,20.2% ,2 ,15 ,0 ,0 ,- ,6, Folmer Toft 
74. ,SG Vikings,5 ,7 ,0 ,0% ,0 ,-2 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,29 ,91 ,17 ,18.7% ,6 ,13 ,0 ,0 ,- ,5 
72. ,SG Vikings,29 ,54 ,16 ,29.6% ,0 ,-7 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,21 ,34 ,8 ,23.5% ,1 ,-2 ,0 ,0 ,- ,0, Staņislavs Bullītis 
73. ,HC Jelgava Stars,36 ,26 ,3 ,11.5% ,2 ,-3 ,0 ,0 ,- ,1 
71. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,33 ,35 ,2 ,5.7% ,1 ,-7 ,0 ,0 ,- ,0 
72. ,HC Jelgava Stars,4 ,3 ,1 ,33.3% ,0 ,-2 ,0 ,0 ,- ,1 

75. ,HC Jelgava Stars,16 ,27 ,2 ,7.4% ,1 ,-1 ,0 ,0 ,- ,0, Uvis Vakseris 
74. ,A-WORKS,2 ,3 ,0 ,0% ,0 ,-5 ,0 ,0 ,- ,0 
72. ,A-WORKS,4 ,2 ,0 ,0% ,0 ,-2 ,0 ,0 ,- ,0 
70. ,A-WORKS,30 ,6 ,0 ,0% ,0 ,-60 ,0 ,0 ,- ,2 
74. ,HC Jelgava Stars,15 ,23 ,2 ,8.7% ,1 ,0 ,0 ,0 ,- ,0 
73. ,A-WORKS,1 ,1 ,1 ,100% ,0 ,2 ,0 ,0 ,- ,0 
71. ,A-WORKS,30 ,13 ,1 ,7.7% ,0 ,-27 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,36 ,63 ,4 ,6.3% ,14 ,7 ,0 ,0 ,- ,0, Mário Iván 
73. ,HC Jelgava Stars,34 ,76 ,1 ,1.3% ,14 ,6 ,0 ,0 ,- ,1 
71. ,HC Jelgava Stars,37 ,36 ,2 ,5.6% ,12 ,0 ,0 ,0 ,- ,2 
70. ,Flying Mustangs BB,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
68. ,Flying Mustangs BB,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
67. ,Brunswick,2 ,2 ,0 ,0% ,0 ,-2 ,0 ,0 ,- ,0 
63. ,HK Dark Destiny - divízia BOOM™,21 ,7 ,0 ,0% ,0 ,-55 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,38 ,57 ,3 ,5.3% ,8 ,16 ,0 ,0 ,- ,0 
72. ,HC Jelgava Stars,34 ,55 ,7 ,12.7% ,11 ,5 ,0 ,0 ,- ,8 
70. ,HC Jelgava Stars,29 ,24 ,0 ,0% ,2 ,-8 ,0 ,0 ,- ,1 
69. ,Flying Mustangs BB,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
67. ,Flying Mustangs BB,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
66. ,HK Dark Destiny - divízia BOOM™,10 ,15 ,0 ,0% ,6 ,4 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,1 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0, Andris Kraulis 
73. ,HC Jelgava Stars,7 ,8 ,2 ,25% ,0 ,-3 ,0 ,0 ,- ,3 
74. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,5 
72. ,HC Jelgava Stars,2 ,1 ,0 ,0% ,1 ,-1 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,10 ,5 ,0 ,0% ,0 ,-6 ,0 ,0 ,- ,0, Edmunds Bambergs 
73. ,HC Jelgava Stars,5 ,6 ,0 ,0% ,0 ,-4 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,9 ,7 ,0 ,0% ,0 ,-2 ,0 ,0 ,- ,4 
72. ,HC Jelgava Stars,2 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,38 ,74 ,2 ,2.7% ,10 ,5 ,0 ,0 ,- ,0, Petr Pozhnikov 
73. ,HC Jelgava Stars,32 ,27 ,1 ,3.7% ,4 ,0 ,0 ,0 ,- ,9 
71. ,HC Jelgava Stars,37 ,28 ,0 ,0% ,2 ,-1 ,0 ,0 ,- ,2 
70. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
69. ,Novosibirsk Penguins,4 ,2 ,0 ,0% ,0 ,1 ,0 ,0 ,- ,0 
67. ,Novosibirsk Penguins,2 ,4 ,0 ,0% ,0 ,1 ,0 ,0 ,- ,2 
74. ,HC Jelgava Stars,38 ,57 ,4 ,7% ,11 ,5 ,0 ,0 ,- ,0 
72. ,HC Jelgava Stars,36 ,34 ,0 ,0% ,3 ,-5 ,0 ,0 ,- ,0 
70. ,HC Jelgava Stars,26 ,18 ,0 ,0% ,3 ,-9 ,0 ,0 ,- ,0 
70. ,Quarks Omsk,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
68. ,Novosibirsk Penguins,26 ,18 ,0 ,0% ,1 ,-12 ,0 ,0 ,- ,0 
67. ,StarWarrior,10 ,9 ,0 ,0% ,0 ,-11 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,2 ,4 ,0 ,0% ,0 ,-3 ,0 ,0 ,- ,0 ,Osvalds Jākabsons
74. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,34 ,51 ,9 ,17.6% ,6 ,4 ,0 ,0 ,- ,0, Cyrille Boulanger 
74. ,Goélands de plabennec,11 ,15 ,4 ,26.7% ,1 ,3 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,18 ,28 ,6 ,21.4% ,3 ,-3 ,0 ,0 ,- ,0 
68. ,Goélands de plabennec,15 ,17 ,2 ,11.8% ,0 ,6 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,36 ,81 ,6 ,7.4% ,37 ,19 ,0 ,0 ,- ,0, Dennis Ivarsson 
73. ,HC Jelgava Stars,35 ,100 ,4 ,4% ,38 ,16 ,0 ,0 ,- ,3 
71. ,HC Jelgava Stars,36 ,61 ,2 ,3.3% ,27 ,6 ,0 ,0 ,- ,3 
70. ,Detroit Red Wings®,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
68. ,Detroit Red Wings®,4 ,3 ,0 ,0% ,2 ,-2 ,0 ,0 ,- ,0 
66. ,Detroit Red Wings®,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,38 ,66 ,6 ,9.1% ,30 ,18 ,0 ,0 ,- ,1 
72. ,HC Jelgava Stars,36 ,88 ,3 ,3.4% ,33 ,17 ,0 ,0 ,- ,2 
70. ,HC Jelgava Stars,29 ,19 ,1 ,5.3% ,9 ,-5 ,0 ,0 ,- ,0 
69. ,Detroit Red Wings®,18 ,29 ,2 ,6.9% ,10 ,-16 ,0 ,0 ,- ,0 
67. ,Detroit Red Wings®,1 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
66. ,Malmö Griffins,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,38 ,39 ,0 ,0% ,6 ,-6 ,0 ,0 ,- ,0, Dzidris Skrastiņš 
73. ,HC Jelgava Stars,6 ,6 ,0 ,0% ,0 ,1 ,0 ,0 ,- ,2 
71. ,HC Jelgava Stars,4 ,1 ,0 ,0% ,0 ,-4 ,0 ,0 ,- ,0 
69. ,HC Jelgava Stars,2 ,0 ,0 ,- ,0 ,-1 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,34 ,18 ,0 ,0% ,0 ,-10 ,0 ,0 ,- ,0 
72. ,HC Jelgava Stars,2 ,0 ,0 ,- ,0 ,-1 ,0 ,0 ,- ,0 
70. ,HC Jelgava Stars,4 ,1 ,0 ,0% ,0 ,-4 ,0 ,0 ,- ,0 

75. ,HC Jelgava Stars,37 ,35 ,4 ,11.4% ,8 ,-6 ,0 ,0 ,- ,3, Alberts Timanovskis 
73. ,HC Jelgava Stars,33 ,36 ,1 ,2.8% ,1 ,-8 ,0 ,0 ,- ,7 
71. ,HC Jelgava Stars,4 ,3 ,0 ,0% ,1 ,1 ,0 ,0 ,- ,2 
69. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,36 ,29 ,0 ,0% ,4 ,-14 ,0 ,0 ,- ,0 
72. ,HC Jelgava Stars,24 ,11 ,1 ,9.1% ,4 ,-1 ,0 ,0 ,- ,2 
70. ,HC Jelgava Stars,1 ,0 ,0 ,- ,0 ,-1 ,0 ,0 ,- ,1 

75. ,HC Jelgava Stars,1 ,1 ,0 ,0% ,0 ,-1 ,0 ,0 ,- ,0, Niks Silmacis 
73. ,HC Jelgava Stars,21 ,8 ,0 ,0% ,1 ,-2 ,0 ,0 ,- ,0 
74. ,HC Jelgava Stars,0 ,0 ,0 ,- ,0 ,0 ,0 ,0 ,- ,0 
72. ,HC Jelgava Stars,2 ,1 ,0 ,0% ,1 ,0 ,0 ,0 ,- ,0 
